1	Ёрдамчи ва бошқа ишлаб чиқариш цехларида фойдаланиладиган асосий воситалар эскириши акс эттирилган 	2310	0211-0290	Асосий воситалар эскиришининг ҳисоб-китоби 
2	Ёрдамчи ва бошқа ишлаб чиқариш харажатларига тааллуқли номоддий активлар бўйича амортизация ҳисобланган 	2310	0510-0590	Номоддий активлар бўйича амортизациянинг ҳисоб-китоби 
3	Ёрдамчи ва бошқа ишлаб чиқариш эҳтиёжлари учун материаллар сарфхаражат қилинган 	2310	1010-1070 1090	Юкхат
4	Маҳсулот олиш учун ҳайвонлар сўйилганлиги акс эттирилган 	2310	1110	Ҳайвонларни сўйиш далолатномаси 
5	Ёрдамчи ва бошқа ишлаб чиқариш эҳтиёжлари учун инвентарь ва хўжалик жиҳозлари ҳисобдан чиқарилган 	2310	1080	Юкхат
6	Ёрдамчи ва бошқа хизмат кўрсатувчи цехларда тугалланмаган ишлаб чиқариш суммалари ошириш юзасидан қайта баҳоланган (баҳосини ошириш) 	2310	9390	Корхона раҳбариятининг қарори, бухгалтерия ҳисоб-китоблари 
7	Материалларнинг қийматидаги фарқлар ҳисобланган улуш бўйича ёрдамчи ва бошқа ишлаб чиқариш счётларига ҳисобдан чиқарилган (мусбат сон билан ёки сторно) 	2310	1610	Бухгалтерия ҳисоб-китоблари 
8	Ўзида ишлаб чиқарилган ярим тайёр маҳсулотлар ёрдамчи ва бошқа ишлаб чиқариш эҳтиёжлари учун сарф-харажат қилинган 	2310	2110	Юкхат
9	Умумишлаб чиқариш харажатларининг тегишли улуши ёрдамчи ва бошқа ишлаб чиқариш харажатларига тааллуқли маҳсулотлар, ишлар ва хизматларнинг таннархига киритилган 	2310	2510	Бухгалтерия ҳисоб-китоблари 
10	Ишлаб чиқаришдаги яроқсизликдан йўқотишлар ёрдамчи ва бошқа ишлаб чиқариш маҳсулотларининг таннархига киритилган 	2310	2610	Яроқсизлик далолатномаси, бухгалтерия ҳисоб-китоблари 
11	Келгуси давр харажатлари улуши ёрдамчи ва бошқа ишлаб чиқариш маҳсулотлари, ишлар ва хизматларнинг таннархи ҳисобига киритилган 	2310	3110-3190	Бухгалтериянинг ҳисоб-китоби 
12	Асосий цехлар маҳсулотларининг бир қисми ёрдамчи ва бошқа ишлаб чиқариш эҳтиёжлари учун фойдаланилган 	9110, 2310	2810, 9010	Юкхат 
13	Ёрдамчи ва бошқа ишлаб чиқаришларга тааллуқли турли харажатларга нақд пул тўланган 	2310	5010	Харажатлар учун масъул шахсларнинг ҳисоботлари 
14	Мол етказиб берувчиларнинг моддий қийматликлар ҳамда ёрдамчи ва бошқа цехларга етказиб берилган хизматлар (сув, буғ, энергия, алоқа ва ҳ.к.) бўйича счётлари қабул қилинган 	2310	6010, 6990	Шартнома, ҳисобварақ-фактура 
15	Ёрдамчи цехларга тааллуқли қондирилмаган даъволар суммаси улар маҳсулотлари, ишлари ва хизматлари таннархига ҳисобдан чиқарилган 	2310	4860	Суд қарори, корхона раҳбарининг қарори, бухгалтериянинг ҳисоб-китоби 
16	Ёрдамчи ва бошқа цехлар ходимларининг мажбурий мулкий ва шахсий суғурта бўйича харажатлари (суғурта ташкилотларига қарзлар) акс эттирилган 	2310	6510	Бухгалтериянинг ҳисоб-китоби 
17	Ёрдамчи цехлар ходимларига тўланадиган ижтимоий суғурта ва меҳнат ҳақи суммаларидан таъминотга ажратмалар акс эттирилган 	2310	6520	Бухгалтериянинг ҳисоб-китоби 
18	Бюджетдан ташқари жамғармаларга киритиладиган суммалар ҳисобланган (ёрдамчи ва бошқа ишлаб чиқариш харажатлари бўйича) 	2310	6520	Бухгалтериянинг ҳисоб-китоби 
19	Ёрдамчи ишлаб чиқариш ходимларига меҳнат ҳақи тўлаш бўйича суммалар ҳисобланган 	2310	6710	Бажарилган ишлар далолатномаси, ҳисоб олиш табели, бухгалтериянинг ҳисоб-китоби 
20	Ёрдамчи ва бошқа ишлаб чиқариш цехларига кўрсатилган хизматлари учун турли корхоналар олдидаги қарзлар акс эттирилган 	2310	6990	Шартнома, бажарилган ишлар, хизматлар далолатномаси 
21	Ҳисобдор шахслар томонидан олинган суммалардан ортиқ сарфланган харажатлар бўйича қарзлар акс эттирилган 	2310	6970	Юкхат, ҳисобдор шахсларнинг ҳисоботлари, бухгалтериянинг ҳисоб-китоби 
22	Ёрдамчи цехлар ходимларининг хизмат сафарлари бўйича харажатлар акс эттирилган: 			Бўнак ҳисоботи ва унга илова қилинган бошланғич ҳужжатлар 
	a) уларга бўнак берилган бўлса 	2310	4220	
	b) бўнак берилмаган бўлса 	2310	6970	
23	Алоҳида балансга ажратилган ички бўлинмалар томонидан ёрдамчи ва бошқа ишлаб чиқаришларга кўрсатилган хизматлар акс эттирилган 	2310	6110	Шартнома, юкхат, ҳисобварақ-фактура 
24	Ёрдамчи ва бошқа цехлардаги тугалланмаган ишлаб чиқаришнинг ортиғи кирим қилинган (камомаддан юқори бўлган суммада) 	2310	9390	Инвентарлаш далолатномаси, бухгалтериянинг ҳисоб-китоби 
25	Етишмаётган моддий қийматликлар қиймати ёрдамчи ва бошқа ишлаб чиқариш маҳсулотлари, ишлар ва хизматларнинг таннархига ҳисобдан чиқарилган 	2310	5910	Инвентарлаш далолатномаси, бухгалтериянинг ҳисоб-китоби 
26	Узоқ муддатли инвестициялар тартибида бошқа корхоналарга ёрдамчи цехлар томонидан ишлар ва хизматларнинг бир қисми кўрсатилган (харид қилинган қимматли қоғозлар қиймати қопланган) 	9110 0610	2310 9010-9030 	Шартнома, юкхат, ҳисобварақ-фактура, бажарилган ишлар далолатномаси 
27	Ўрнатиладиган асбобускуналарни харид қилишда ёрдамчи ишлаб чиқаришлар томонидан амалга оширилган харажатлар (шу жумладан, транспорт харажатлари) асбобускуналар қийматига киритилган 	0710-0720	2310	Транспорт ташкилотларининг счётлари, билдирги, бажарилган ишлар далолатномаси, бухгалтериянинг ҳисоб-китоби 
28	Ёрдамчи цехлар томонидан ўз капитал қурилиши учун ишлаб чиқарган маҳсулотларининг ҳақиқий таннархи ҳисобдан чиқарилган 	0810	2310	Юкхат, бажарилган ишлар далолатномаси 
29	Ёрдамчи ва бошқа цехлар томонидан капитал қўйилмаларга амалга оширилган харажатлар ва хизматлар ҳисобдан чиқарилган 	0810-0890	2310	Юкхат, бажарилган ишлар далолатномаси 
