1	Kapital qurilishga oid sug‘urta to‘lovlari bo‘yicha qarz summalari aks ettirilgan 	0810	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi
2	Xarid qilingan asosiy vositalarga oid sug‘urta to‘lovlari bo‘yicha qarz summalari aks ettirilgan 	0820	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
3	Xarid qilingan nomoddiy aktivlarga oid sug‘urta to‘lovlari bo‘yicha qarz summalari aks ettirilgan 	0830	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
4	Asosiy podani shakllantirishga oid sug‘urta to‘lovlari bo‘yicha qarz summalari aks ettirilgan 	0840	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
5	Materiallarni xarid qilish bilan bog‘liq sug‘urta to‘lovlari bo‘yicha qarz summalari aks ettirilgan 	1010-1090	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
6	Hayvonlarni o‘stirish va bo‘rdoqiga boqish uchun xarid qilish bilan bog‘liq sug‘urta to‘lovlari hisobga olingan 	1110, 1120	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
7	1510 "Materiallarni tayyorlash va xarid qilish" schyotidan foydalanilgan holda materiallarni xarid qilish bilan bog‘liq sug‘urta to‘lovlari hisobga olingan 	1510	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
8	Asosiy ishlab chiqarish xarajatlari bilan bog‘liq sug‘urta to‘lovlari hisobga olingan 	2010	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
9	Yordamchi ishlab chiqarish xarajatlari bilan bog‘liq sug‘urta to‘lovlari hisobga olingan 	2310	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
10	Xizmat ko‘rsatuvchi xo‘jaliklarning mol-mulki va xodimlari sug‘urtasi bo‘yicha qarz hisobga olingan 	2710	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
11	Tovarlarni xarid qilishda sug‘urta bo‘yicha qarz aks ettirilgan 	2910	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi 
12	Xodimlarning shaxsiy mol-mulki sug‘urtasi uchun ularning mehnat haqidan summalar ushlab qolingan 	6710	6510	Bo‘linmalar bo‘yicha mehnat haqidan ushlab qolishni hisobga oluvchi qaydnoma 
13	Sug‘urta shartnomasi bo‘yicha korxona xodimlariga tegishli sug‘urta bo‘yicha qoplash summasi aks ettirilgan 	6510	6710	Bank schyotlaridan ko‘chirmalar, sug‘urta to‘lovlari summasi ko‘rsatilgan holda sug‘urta holatlari bo‘yicha xabarnoma 
14	Tijorat faoliyatida yoki savdo korxonalarida band bo‘lgan xodimlarga va mol-mulkiga taalluqli sug‘urta to‘lovlari bo‘yicha qarz aks ettirilgan 	9410	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarini hisoblash jadvali, sug‘urta shartnomasi 
15	Mol-mulk hamda ma’muriy xodimlarga taalluqli sug‘urta to‘lovlari bo‘yicha qarz aks ettirilgan 	9420	6510	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarini hisoblash jadvali, sug‘urta shartnomasi 
16	Kurs farqini hisobga olishning jamlash usuli bilan korxonaning chet el valyutasida ifodalangan sug‘urta muassasalari oldidagi qarzi bo‘yicha manfiy valyuta kurs farqi aks ettirilgan 	3290	6510	Bank schyotlaridan ko‘chirmalar, O‘zR MB tomonidan belgilangan valyuta kursi 
17	Kurs farqini hisobga olishning to‘g‘ri usuli bilan korxonaning chet el valyutasida ifodalangan sug‘urta muassasalari oldidagi qarzi bo‘yicha manfiy valyuta kurs farqi aks ettirilgan 	9620	6510	Bank schyotlaridan ko‘chirmalar, O‘zR MB tomonidan belgilangan valyuta kursi 
18	Sug‘urta holatlari bo‘yicha yo‘qotishlar (zaxiralar, tayyor buyumlar, hayvonlar, tovarlar va hokazolarning yo‘qotilishi va buzilishi) tegishli schyotlardan hisobdan chiqarilgan 	6510	1010-1090, 1100, 2810, 2820, 2910- 2990 	Xarajatlar o‘rni, sug‘urta turi bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, sug‘urta shartnomasi, inventarlash komissiyasining qarori 
19	Mol-mulk va shaxsiy sug‘urta bo‘yicha hisoblangan sug‘urta to‘lovlari summasi hisob-kitob schyotidan o‘tkazilgan 	6510	5110	Bank hisob-kitob schyotlaridan ko‘chirmalar, to‘lov topshiriqnomasi 
20	Mol-mulk va shaxsiy sug‘urta bo‘yicha hisoblangan sug‘urta to‘lovlari summasi valyuta schyotidan o‘tkazilgan 	6510	5210, 5220	Bank valyuta schyotlaridan ko‘chirmalar, to‘lov topshiriqnomasi 
21	Kurs farqini hisobga olishning jamlash usuli bilan korxonaning chet el valyutasida ifodalangan sug‘urta muassasalari oldidagi qarzi bo‘yicha musbat valyuta kurs farqi aks ettirilgan 	6510	6230	Bank schyotlaridan ko‘chirmalar, O‘zR MB tomonidan belgilangan valyuta kursi 
22	Kurs farqini hisobga olishning to‘g‘ri usuli bilan korxonaning chet el valyutasida ifodalangan sug‘urta muassasalari oldidagi qarzi bo‘yicha musbat valyuta kurs farqi aks ettirilgan 	6510	9540	Bank schyotlaridan ko‘chirmalar, O‘zR MB tomonidan belgilangan valyuta kursi 
23	O‘rnatiladigan asbobuskunani xarid qilish bilan band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	0710-0720	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
24	Kapital qurilishda band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	0810-0890	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
25	Materiallarni xarid qilish bilan band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	1010-1090	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
26	Hayvonlarni xarid qilish bilan band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	1110-1120	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
27	1510 "Materiallarni tayyorlash va xarid qilish" schyotidan foydalangan holda materiallarni xarid qilish bilan band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	1510	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
28	Tovarlarni xarid qilish bilan band bo‘lgan xodimlarning mehnat haqidan ushlab qolinadigan yagona ijtimoiy to‘lov hisoblangan 	2910	6520	Mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
29	Asosiy syexlar ishchilarining mehnat haqi summalari bo‘yicha yagona ijtimoiy to‘lov hisoblangan 	2010	6520	Sug‘urta to‘lovlarining hisob-kitobi 
30	Yordamchi syexlar ishchilarining mehnat haqi summalari bo‘yicha yagona ijtimoiy to‘lov hisoblangan 	2310	6520	Sug‘urta to‘lovlarining hisob-kitobi 
31	Umumishlab chiqarish xarajatlariga kiritilgan mehnat haqi summalari bo‘yicha yagona ijtimoiy to‘lov hisoblangan 	2510	6520	Xarajatlar o‘rni bo‘yicha sug‘urta to‘lovlarining hisob-kitobi, mehnat haqi bo‘yicha hisob-kitob qaydnomasi 
