1	Капитал қурилишга оид суғурта тўловлари бўйича қарз суммалари акс эттирилган 	0810	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси
2	Харид қилинган асосий воситаларга оид суғурта тўловлари бўйича қарз суммалари акс эттирилган 	0820	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
3	Харид қилинган номоддий активларга оид суғурта тўловлари бўйича қарз суммалари акс эттирилган 	0830	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
4	Асосий подани шакллантиришга оид суғурта тўловлари бўйича қарз суммалари акс эттирилган 	0840	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
5	Материалларни харид қилиш билан боғлиқ суғурта тўловлари бўйича қарз суммалари акс эттирилган 	1010-1090	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
6	Ҳайвонларни ўстириш ва бўрдоқига боқиш учун харид қилиш билан боғлиқ суғурта тўловлари ҳисобга олинган 	1110, 1120	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
7	1510 "Материалларни тайёрлаш ва харид қилиш" счётидан фойдаланилган ҳолда материалларни харид қилиш билан боғлиқ суғурта тўловлари ҳисобга олинган 	1510	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
8	Асосий ишлаб чиқариш харажатлари билан боғлиқ суғурта тўловлари ҳисобга олинган 	2010	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
9	Ёрдамчи ишлаб чиқариш харажатлари билан боғлиқ суғурта тўловлари ҳисобга олинган 	2310	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
10	Хизмат кўрсатувчи хўжаликларнинг мол-мулки ва ходимлари суғуртаси бўйича қарз ҳисобга олинган 	2710	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
11	Товарларни харид қилишда суғурта бўйича қарз акс эттирилган 	2910	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларининг ҳисоб-китоби, суғурта шартномаси 
12	Ходимларнинг шахсий мол-мулки суғуртаси учун уларнинг меҳнат ҳақидан суммалар ушлаб қолинган 	6710	6510	Бўлинмалар бўйича меҳнат ҳақидан ушлаб қолишни ҳисобга олувчи қайднома 
13	Суғурта шартномаси бўйича корхона ходимларига тегишли суғурта бўйича қоплаш суммаси акс эттирилган 	6510	6710	Банк счётларидан кўчирмалар, суғурта тўловлари суммаси кўрсатилган ҳолда суғурта ҳолатлари бўйича хабарнома 
14	Тижорат фаолиятида ёки савдо корхоналарида банд бўлган ходимларга ва мол-мулкига тааллуқли суғурта тўловлари бўйича қарз акс эттирилган 	9410	6510	Харажатлар ўрни, суғурта тури бўйича суғурта тўловларини ҳисоблаш жадвали, суғурта шартномаси 
